"Geslacht";"Uitstromers ho met en zonder diploma";"Bedrijfstakken (SBI 2008)";"Studierichting";"Peilmoment";"Perioden";"Uurloon werknemers na verlaten ho (euro)"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"   27.20"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"   17.65"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"   18.96"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"   21.02"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"   23.26"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"   25.70"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"   28.25"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"   16.21"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"   18.60"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"   20.37"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"   22.42"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"   24.39"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"   26.79"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Economie";"Direct na verlaten onderwijs";"2015/'16";"   16.88"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"   18.21"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"   20.76"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"   23.50"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"   26.10"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"   29.25"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Recht";"Direct na verlaten onderwijs";"2015/'16";"   16.57"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"   18.37"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"   20.46"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"   23.04"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"   26.26"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"   28.65"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"   15.57"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"   18.10"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"   20.18"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"   22.54"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"   25.16"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"   27.23"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"   14.44"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"   16.00"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"   18.42"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"   20.19"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"   22.19"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"   24.02"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"   12.68"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"   16.50"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"   18.59"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"   21.68"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"   22.10"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"   25.99"
