Uitstromers ho met en zonder diploma,Arbeidsmarktpositie,Studierichting,Peilmoment,Perioden,Uitstromers ho (aantal)
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,3 jaar na verlaten onderwijs,2015/'16,460
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,4 jaar na verlaten onderwijs,2015/'16,310
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,5 jaar na verlaten onderwijs,2015/'16,320
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,730
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,300
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,230
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,200
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,140
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,140
Hbo-bachelor,"Zonder werk, zonder uitkering",Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,Direct na verlaten onderwijs,2015/'16,520
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,230
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,160
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,130
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, zonder uitkering",Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Onderwijs,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Onderwijs,1 jaar na verlaten onderwijs,2015/'16,320
Hbo-bachelor,Terug in onderwijs,Onderwijs,2 jaar na verlaten onderwijs,2015/'16,540
Hbo-bachelor,Terug in onderwijs,Onderwijs,3 jaar na verlaten onderwijs,2015/'16,690
Hbo-bachelor,Terug in onderwijs,Onderwijs,4 jaar na verlaten onderwijs,2015/'16,780
Hbo-bachelor,Terug in onderwijs,Onderwijs,5 jaar na verlaten onderwijs,2015/'16,870
Hbo-bachelor,Terug in onderwijs,Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,40
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,60
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,80
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,Terug in onderwijs,Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Natuur,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Techniek,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Techniek,1 jaar na verlaten onderwijs,2015/'16,330
Hbo-bachelor,Terug in onderwijs,Techniek,2 jaar na verlaten onderwijs,2015/'16,450
Hbo-bachelor,Terug in onderwijs,Techniek,3 jaar na verlaten onderwijs,2015/'16,510
Hbo-bachelor,Terug in onderwijs,Techniek,4 jaar na verlaten onderwijs,2015/'16,540
Hbo-bachelor,Terug in onderwijs,Techniek,5 jaar na verlaten onderwijs,2015/'16,570
Hbo-bachelor,Terug in onderwijs,Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,150
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,260
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,370
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,460
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,540
Hbo-bachelor,Terug in onderwijs,Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Economie,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Economie,1 jaar na verlaten onderwijs,2015/'16,760
Hbo-bachelor,Terug in onderwijs,Economie,2 jaar na verlaten onderwijs,2015/'16,1040
Hbo-bachelor,Terug in onderwijs,Economie,3 jaar na verlaten onderwijs,2015/'16,1200
Hbo-bachelor,Terug in onderwijs,Economie,4 jaar na verlaten onderwijs,2015/'16,1340
Hbo-bachelor,Terug in onderwijs,Economie,5 jaar na verlaten onderwijs,2015/'16,1420
Hbo-bachelor,Terug in onderwijs,Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Recht,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,480
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,700
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,860
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,970
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,1050
Hbo-bachelor,Terug in onderwijs,Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,120
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,190
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,240
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,280
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,320
Hbo-bachelor,Terug in onderwijs,Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,Terug in onderwijs,Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,100
Hbo-master,"Met werk, zonder uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,100
Hbo-master,"Met werk, zonder uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,100
Hbo-master,"Met werk, zonder uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,100
Hbo-master,"Met werk, zonder uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,100
Hbo-master,"Met werk, zonder uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,100
Hbo-master,"Met werk, zonder uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Techniek,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Techniek,1 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Techniek,2 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Techniek,3 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Techniek,4 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Techniek,5 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Economie,Direct na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Economie,1 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Economie,2 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Economie,3 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Economie,4 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Economie,5 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Recht,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, zonder uitkering",Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,Direct na verlaten onderwijs,2015/'16,330
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,340
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,340
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,320
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,160
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,220
Hbo-master,"Met werk, zonder uitkering",Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, zonder uitkering",Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, met uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Techniek,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Techniek,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Techniek,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Techniek,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Techniek,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Techniek,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Economie,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Economie,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Economie,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Economie,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Economie,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Economie,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Recht,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Taal en cultuur,Direct na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, met uitkering",Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, met uitkering",Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, met uitkering",Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,10
Hbo-master,"Met werk, met uitkering",Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,160
Hbo-master,"Met werk, met uitkering",Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,90
Hbo-master,"Met werk, met uitkering",Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Met werk, met uitkering",Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Zonder werk, met uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-master,"Zonder werk, met uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-master,"Zonder werk, met uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
